Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,,empty,,
,Germany - Virtual,,Germany - Virtual,Germany - Virtual,,,Germany,EMEA - Germany,FALSE,Sitel,Virtual,EMEA,GEE,TRUE,,,
,Krefeld A17,,Europark Fichtenhain A 17,Krefeld,,,Germany,EMEA - Germany,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Magdeburg,,Halberstädter Str. 40 - 42,Magdeburg,,39112,Germany,EMEA - Germany,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Potsdam,,Zeppelinstraße 48B,Potsdam,,14471,Germany,EMEA - Germany,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Wittenberg,,"Friedrichstrabe 126, 06886, Lutherstadt, Wittenberg",Lutherstadt-Wittenberg,,,Germany,EMEA - Germany,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Athens,,"Capitol Building, 74-78, 3rd September str., 33-35 Ioulianou str. & Patission str.",Athens,,10434,Greece,EMEA - Greece,FALSE,Sitel,Call Center,EMEA,GEE,TRUE,,,
,Greece - Maxhubs,,Greece - Maxhubs,Greece - Maxhubs,,,Greece,EMEA - Greece,FALSE,Sitel,MAXhubs,EMEA,GEE,TRUE,,,
,Greece – Virtual,,Greece – Virtual,Greece – Virtual,,,Greece,EMEA - Greece,FALSE,Sitel,Virtual,EMEA,GEE,TRUE,,,
,Chennai,,"Block C, 1st Floor, Hardy Tower, Ramanujan IT SEZ, Rajiv Gandhi Salai (OMR), Taramani",Chennai,,600113,India,Asia Pacific - India,FALSE,Sitel,Call Center,Asia Pacific,India,TRUE,,,
delete,Gurgaon (Delhi),,"12th Floor, Block A3,IT/ITES SEZ of M/s. DLF Limited SEZ, Village Silokhera",Gurgaon,,122001,India,Asia Pacific - India,FALSE,Sitel,Call Center,Asia Pacific,India,TRUE,,,
