Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4
,OXXO,OXXO,CALLE POLIGONO 4 UBICADO EN RESERVA TERRITORIAL DEL IPAE COLONIA CHAN CHEN MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,La Coruna CUN,PUNTO DE VENTA,CHAN CHEN
,OXXO,OXXO,CALLE Av politecnico smza 513 mza 7  COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,San Miguel CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE CARR. FED FELIPE CARRILLO PUERTO ESQ CALLE 76 NTE COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Habitatt CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av Tulipanes smza 259 mza 101 Fracc.Villas otoch p COLONIA REGION 103 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Maya CUN,PUNTO DE VENTA,REGION 103
,OXXO,OXXO,CALLE AV coba Nte  COLONIA TULUM MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Polar CUN,PUNTO DE VENTA,TULUM
,OXXO,OXXO,CALLE Carretera Federal Chetumal-Cancun mza 03 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Rio Hondo CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE AV. 3  SM 256  MZ 01 FRACC. PRADO NORTE COLONIA *SUPER MANZANA 200 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Yaxche CUN,PUNTO DE VENTA,*SUPER MANZANA 200
,OXXO,OXXO,CALLE CALLE 20 AV. SUR COLONIA C T M MUNICIPIO COZUMEL,COZUMEL,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Unicornio CUN,PUNTO DE VENTA,C T M
,OXXO,OXXO,CALLE Av tulum Poniente  en Tulum Quintana roo COLONIA CHAN CHEN MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Alfa CUN,PUNTO DE VENTA,CHAN CHEN
,OXXO,OXXO,CALLE Carretera Chetumal-Puerto Juarez Km 269.5 Mza 8  COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Hipico CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE SMZA 217 MZA 35 COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Guadalupana II CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE Av balmtum Region 024 mza 17  COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Balamtun CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Blvd. las palmas region 37 smza 2 mza 86 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Cocoteros CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av 135 Smza 326 mza 1  COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Jardines del Sur CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE DE LOS OLIVOS COLONIA *MISION LAS FLORES MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Olivo CUN,PUNTO DE VENTA,*MISION LAS FLORES
,OXXO,OXXO,CALLE AV LOPEZ PORTILLO COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Lopez PortilloII CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE 30 AV NORTE COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,IMSS CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,"CALLE Av. Tankah, MZ-01, L-21 COLONIA SUPERMANZANA  26 MUNICIPIO BENITO JUAREZ",BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Cascanueces CUN,PUNTO DE VENTA,SUPERMANZANA  26
,OXXO,OXXO,CALLE Av cancun smza 529 mza 20 COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Itzales CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE AV. HUAYACAN SM 312 MZA 21 COLONIA REGION 516 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Islazul CUN,PUNTO DE VENTA,REGION 516
,OXXO,OXXO,"CALLE número 10 de la Manzana 007, Supermanzana 001, Región 043 COLONIA CENTRO MUNICIPIO SOLIDARIDAD",SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Villas del Sol CUN,PUNTO DE VENTA,CENTRO
