Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4
,Tarlac 3,,"Robinsons Luisita, Mc Arthur Highway, San Miguel",Tarlac City,Tarlac,="02300",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Technopoint,,"Technopoint Building, Julia Vargas Ave., Barrio Ugong, Pasig City",Pasig City,NCR,="01604",Philippines,Asia Pacific - Philippines,True,Sitel,Call Center,Asia Pacific,Philippines
,Poland - Maxhubs,,Poland - Maxhubs,Poland - Maxhubs,,="",Poland,EMEA - Poland,True,Sitel,MAXhubs,EMEA,GEE
,Poland - Virtual,,Poland - Virtual,Poland - Virtual,,="",Poland,EMEA - Poland,True,Sitel,Virtual,EMEA,GEE
,Warsaw,,"Woloska -7 Mars Building, Entry D, 02-675",Warsaw,,="",Poland,EMEA - Poland,True,Sitel,Call Center,EMEA,GEE
,Lisbon 7 Rios,,"Avenida José Malhoa 19, 1070-040 Lisboa,  Portugal",Lisbon,,="1070-40",Portugal,EMEA - Portugal,True,Sitel,Call Center,EMEA,SPI
,Lisbon Atlantic,,"Av. D Joao II, Edificio Central Office, nº 45 - 3º Andar",Lisbon,,="900-084",Portugal,EMEA - Portugal,True,Sitel,Call Center,EMEA,SPI
,Lisbon Santos,,"Edifício D. Luís I nº7-7C, Rua do Instituto Industrial",Lisbon,,="1200-869",Portugal,EMEA - Portugal,True,Sitel,Call Center,EMEA,SPI
,Porto,,"5º Andar, Edf Tranquilidade,R. D. Manuel II",Porto,,="4050-344",Portugal,EMEA - Portugal,True,Sitel,Call Center,EMEA,SPI
,Portugal - Maxhubs,,Portugal - Maxhubs,Portugal - Maxhubs,,="",Portugal,EMEA - Portugal,True,Sitel,MAXhubs,EMEA,SPI
,Portugal - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Portugal - Other Locations,,="",Portugal,EMEA - Portugal,True,Sitel,Other,EMEA,SPI
,Portugal - Virtual,,Portugal - Virtual,Portugal - Virtual,,="",Portugal,EMEA - Portugal,True,Sitel,Virtual,EMEA,SPI
